SD F26 96+ R1
SD F16 94+ R2
LD F4 43+ R3
LD F28 89+ R4
SD F30 64+ R5
MUL F20 F28 F18
MUL F30 F4 F12
LD F24 59+ R6
SUB F16 F24 F14
SD F8 26+ R7
MUL F16 F18 F2
ADD F16 F0 F26
MUL F26 F26 F26
SD F14 8+ R8
SD F24 24+ R9
MUL F0 F28 F6
SUB F28 F28 F28
LD F20 50+ R10
LD F22 61+ R11
SUB F30 F20 F10
SUB F26 F26 F28
LD F8 66+ R12
SUB F24 F10 F28
LD F8 27+ R13
LD F18 35+ R14
SUB F22 F26 F24
SUB F16 F4 F8
SD F30 73+ R15
SUB F0 F14 F20
ADD F8 F12 F30
LD F6 18+ R16
SUB F6 F6 F14
LD F6 22+ R17
SUB F26 F12 F20
ADD F12 F4 F6
LD F8 60+ R18
MUL F26 F10 F14
LD F24 55+ R19
SUB F30 F10 F24
SD F10 0+ R20
SUB F22 F22 F0
SUB F0 F12 F22
ADD F8 F2 F18
SUB F16 F10 F18
ADD F6 F20 F4
ADD F10 F26 F20
SUB F20 F4 F6
LD F16 60+ R21
ADD F24 F2 F2
SD F14 82+ R22
ADD F26 F26 F14
ADD F24 F10 F10
SUB F30 F18 F4
SUB F10 F28 F24
ADD F30 F16 F28
LD F6 26+ R23
SUB F12 F14 F30
SUB F4 F20 F30
LD F0 91+ R24
MUL F18 F6 F8
SUB F12 F8 F10
ADD F28 F8 F8
LD F6 24+ R25
SD F20 38+ R26
LD F24 41+ R27
SUB F14 F14 F16
MUL F30 F20 F22
MUL F2 F16 F26
LD F10 66+ R28
LD F14 74+ R29
SD F12 5+ R30
SD F22 17+ R31
LD F0 30+ R32
ADD F8 F4 F22
LD F30 55+ R33
MUL F10 F6 F4
MUL F10 F6 F28
MUL F2 F4 F4
ADD F18 F10 F22
ADD F14 F6 F22
ADD F6 F30 F2
SD F8 99+ R34
MUL F6 F8 F10
LD F4 40+ R35
LD F24 14+ R36
MUL F10 F20 F24
SD F6 13+ R37
MUL F22 F0 F2
LD F6 22+ R38
SUB F4 F28 F10
ADD F16 F0 F24
MUL F20 F24 F8
SD F6 36+ R39
MUL F24 F18 F20
MUL F6 F26 F18
SD F12 73+ R40
ADD F2 F18 F16
SUB F6 F24 F12
LD F2 29+ R41
LD F14 31+ R42
SUB F6 F8 F8
MUL F28 F14 F26
LD F12 82+ R43
MUL F8 F24 F2
LD F14 57+ R44
ADD F22 F20 F0
LD F16 60+ R45
MUL F4 F24 F8
ADD F0 F22 F12
SUB F4 F22 F12
LD F24 29+ R46
LD F18 7+ R47
MUL F16 F8 F8
MUL F30 F10 F6
LD F16 63+ R48
LD F12 46+ R49
SD F20 75+ R50
MUL F10 F10 F14
SUB F10 F18 F2
LD F28 60+ R51
LD F30 9+ R52
ADD F8 F4 F4
SUB F16 F2 F28
SUB F10 F12 F22
SUB F8 F6 F30
SUB F18 F14 F28
ADD F8 F28 F18
ADD F4 F6 F24
