LD F4 64+ R1
LD F16 15+ R2
ADD F28 F12 F4
MUL F0 F10 F4
MUL F10 F24 F28
ADD F12 F28 F0
MUL F0 F4 F20
SD F26 74+ R3
ADD F20 F0 F18
LD F6 24+ R4
SUB F28 F16 F22
MUL F12 F28 F30
SUB F28 F18 F24
MUL F16 F4 F20
LD F2 48+ R5
ADD F4 F4 F6
MUL F12 F14 F28
ADD F0 F30 F26
SUB F8 F8 F10
SD F22 49+ R6
MUL F18 F30 F0
SD F0 36+ R7
SD F26 13+ R8
LD F8 93+ R9
MUL F24 F0 F4
SUB F2 F2 F2
ADD F28 F14 F0
SD F8 7+ R10
MUL F4 F18 F14
LD F12 99+ R11
SUB F24 F24 F6
ADD F4 F2 F30
SD F12 9+ R12
SD F0 93+ R13
ADD F8 F20 F8
MUL F10 F0 F20
SUB F8 F8 F6
LD F4 91+ R14
LD F10 76+ R15
SUB F2 F14 F18
SUB F0 F14 F12
MUL F14 F18 F30
MUL F0 F14 F30
ADD F20 F14 F4
ADD F22 F14 F6
SD F20 25+ R16
ADD F8 F0 F0
MUL F0 F26 F30
LD F16 62+ R17
LD F0 89+ R18
MUL F18 F8 F2
LD F18 60+ R19
ADD F22 F6 F20
SUB F6 F20 F24
MUL F2 F18 F18
MUL F4 F24 F16
SUB F12 F18 F20
ADD F22 F0 F12
MUL F22 F24 F0
SD F18 83+ R20
MUL F30 F30 F26
MUL F4 F20 F2
MUL F10 F22 F8
ADD F16 F28 F28
ADD F28 F24 F4
MUL F10 F24 F22
ADD F4 F24 F24
SD F28 94+ R21
MUL F2 F10 F20
ADD F16 F0 F10
MUL F26 F6 F14
SD F10 67+ R22
MUL F4 F18 F8
ADD F26 F30 F16
LD F26 45+ R23
MUL F4 F18 F6
SUB F16 F22 F16
MUL F20 F16 F30
MUL F10 F20 F20
ADD F14 F16 F0
MUL F4 F10 F8
ADD F6 F14 F14
LD F30 13+ R24
LD F18 95+ R25
ADD F28 F22 F6
SD F6 37+ R26
SUB F18 F28 F24
ADD F28 F30 F26
LD F18 67+ R27
SUB F28 F10 F16
SD F28 79+ R28
SD F16 76+ R29
SUB F2 F10 F26
SUB F20 F14 F4
ADD F0 F26 F26
SUB F14 F10 F22
MUL F16 F4 F20
SUB F0 F20 F8
LD F28 33+ R30
SUB F20 F2 F18
ADD F30 F22 F26
MUL F14 F22 F20
SUB F28 F24 F28
SUB F22 F16 F0
SD F30 68+ R31
SD F4 86+ R32
SUB F18 F12 F18
MUL F12 F18 F8
ADD F30 F8 F14
SUB F8 F4 F20
ADD F22 F28 F0
SUB F16 F26 F28
SUB F24 F2 F8
SUB F6 F16 F12
MUL F14 F28 F24
ADD F12 F18 F12
MUL F22 F4 F6
SUB F4 F12 F4
SUB F28 F2 F2
ADD F4 F2 F28
ADD F12 F2 F22
MUL F28 F16 F26
